number,target
2115,P10721
2116,P22455
2117,P07949
2118,P26466
2119,P29323
2120,Q8TCC7
2121,P51149
2122,P42512
2123,Q07869
2124,P37231
2125,Q9Y233
2126,Q99436
2127,P47712
2128,P51800
2129,O60656
2130,P04054
2131,P63098
2132,Q16831
2133,Q99418
2134,Q01234
2135,P01375
2136,P60568
2137,O95644
2138,P18846
2139,P15336
2140,P18847
2141,P18848
2142,Q9Y2D1
2143,P18850
2144,P17544
2145,Q8WYK2
2146,P01100
2147,P56696
2148,P62219
2149,P36969
2150,P06202
2151,F1L7U3
2152,P07359
2153,P35340
2154,P0AG82
2155,P19971
2156,Q0WKM4
2157,Q5SL87
2158,Q16644
2159,Q8IE82
2160,P51787
2161,P05023
2162,Q01064
2163,P54750
2164,P43522
2165,P52597
2166,Q9A1X4
2167,Q91RS4
2168,P0A7G9
2169,P96965
2170,P09104
2171,P05093
2172,P50859
2173,Q14994
2174,P08686
2175,Q93LE9
2176,P25787
2177,P83844
2178,O15440
2179,Q14330
2180,P63185
2181,P50416
2182,O60706
2183,P13569
2184,Q8TD43
2185,P00797
2186,Q9UI33
2187,Q01118
2188,Q9UQD0
2189,Q15858
2190,Q07699
2191,Q9NY72
2192,Q8IWT1
2193,Q14500
2194,Q9UNX9
2195,P63252
2196,P48050
2197,O60840
2198,Q02641
2199,P54284
2200,O00305
2201,Q9HB21
2202,O60513
2203,P16502
2204,Q7ADF8
2205,P19105
2206,P19424
2207,A0A0H3JRU9
2208,P12235
2209,P27487
2210,P20932
2211,P00943
2212,P48167
2213,P99999
2214,P32418
2215,P49228
2216,P9WNL5
2217,O43526
2218,O43525
2219,Q9NR82
2220,Q18BX5
2221,Q99835
2222,P56282
2223,P35247
2224,Q01043
2225,Q8RJN5
2226,Q8NBQ5
2227,P07327
2228,P15428
2229,P0C0E6
2230,O60678
2231,P14598
2232,Q53H96
2233,Q14145
2234,Q9Y6L7
2235,O94768
2236,P15328
2237,Q9H2G2
2238,P15151
2239,O34974
2240,P0A6I9
2241,Q9BYF1
2242,Q86SZ2
2243,Q72547
2244,Q27655
2245,P49759
2246,P16233
2247,P07098
2248,Q88K39
2249,Q7L266
2250,P09546
2251,P58558
2252,P00156
2253,Q9H1K4
2254,P03886
2255,P00914
2256,Q75Y35
2257,Q4R2T2
2258,O00217
2259,P62829
2260,P07071
2261,Q9NRP7
2262,O43181
2263,Q8IDV0
2264,P0A434
2265,Q72874
2266,Q14565
2267,Q96SW2
2268,Q02880
2269,P39662
2270,O15439
2271,Q5TDP6
2272,P49888
2273,P11473
2274,P31260
2275,Q00613
2276,P51698
2277,Q8VVD2
2278,Q7BJM5
2279,Q76NM6
2280,Q9LCV9
2281,P23528
2282,P44725
2283,O14746
2284,P55786
2285,P0AC41
2286,Q6NUS8
2287,P24182
2288,P43700
2289,P43702
2290,P11388
2291,P71447
2292,P03952
2293,Q9H093
2294,P95468
2295,P0A915
2296,P25021
2297,P47898
2298,P0A759
2299,P03372
2300,P16083
2301,P54577
2302,P09917
2303,P16050
2304,P48039
2305,P37840
2306,P11166
2307,P05106
2308,P68400
2309,P16152
2310,P05067
2311,Q86T13
2312,Q8TCG2
2313,P08648
2314,Q92945
2315,P20231
2316,P0C8P8
2317,P63092
2318,Q05315
2319,Q16647
2320,P9WIQ1
2321,P04049
2322,P15056
2323,P29317
2324,P04629
2325,Q15759
2326,Q16832
2327,P42685
2328,P37610
2329,P37108
2330,P56181
2331,P31040
2332,Q72EF3
2333,Q9GZZ6
2334,Q16206
2335,P12461
2336,P15770
2337,Q96I15
2338,P30542
2339,P25103
2340,Q8NER1
2341,Q693P7
2342,P55011
2343,Q13621
2344,Q9NPC2
2345,P39767
2346,Q6IA69
2347,P00338
2348,D2YW37
2349,Q16555
2350,Q9Y619
2351,O68541
2352,P52270
2353,P35579
2354,Q6YP21
2355,Q8XL08
2356,P23340
2357,Q8KN66
2358,P18925
2359,Q9NPJ3
2360,P01593
2361,P09874
2362,P54762
2363,P21980
2364,P00909
2365,P31639
2366,Q9X1K9
2367,P01023
2368,P47205
2369,Q9HA77
2370,P62942
2371,P49821
2372,P25971
2373,P48181
2374,Q6NS38
2375,P27816
2376,P24557
2377,Q96RQ3
2378,Q9Y5N1
2379,Q59H18
2380,P07202
2381,Q8IYQ7
2382,Q16558
2383,P21549
2384,P44160
2385,P17844
2386,P21964
2387,Q7RTT9
2388,O00264
2389,P07814
2390,P52209
2391,Q8IKW5
2392,P62937
2393,Q99705
2394,P29508
2395,P0A078
2396,O75746
2397,Q8IJC6
2398,P16932
2399,Q9Y6Y9
2400,A2QLK4
2401,Q51990
2402,P0A7X3
2403,P9WHH7
2404,Q9BYC2
2405,P24289
2406,Q9HAZ1
2407,Q9RN59
2408,Q02761
2409,O76074
2410,P18545
2411,Q13956
2412,Q6NXR0
2413,Q9Y296
2414,P20807
2415,P19992
2416,P40933
